epoch,split,targets,loss,roc_auc,accuracy,precision,recall,f1,mse,threshold
1,train,49458444,0.5532749200035404,0.7303467881382054,0.7167692538002206,0.7381007315475093,0.9006064575655413,0.8112959894016528,0.18708621441937018,0.5
1,validation,14520975,0.5321785872279078,0.7527808881272077,0.7304941989088198,0.7575512177041172,0.8914517713940205,0.8190650707229761,0.17884354588455054,0.5
2,train,49458444,0.5395579998793112,0.7494115161857188,0.7250884601221987,0.7494258972442565,0.891392609307789,0.8142676394248717,0.1817728190994798,0.5
2,validation,14520975,0.5284494850056147,0.7573268796700343,0.7328387384455933,0.7593193591752506,0.8924562530669852,0.820522236977293,0.17743281892861115,0.5
3,train,49458444,0.5369745161136273,0.7526583167103458,0.7268742623605384,0.7513338758157257,0.890826183474536,0.8151554841704377,0.18076978110131123,0.5
3,validation,14520975,0.527127406932637,0.7588930018050819,0.7338343327496948,0.760946525733229,0.8909131494209008,0.8208170173033946,0.17692429525629305,0.5
4,train,49458444,0.5355518268145966,0.7543912123265798,0.72784153905044,0.7521463523830757,0.8910499544278281,0.815727214376124,0.180220366916248,0.5
4,validation,14520975,0.5260285736455087,0.7605052964464439,0.7343750677898695,0.7528504730775876,0.9108335074394645,0.8243409746093794,0.1765439538295036,0.5
5,train,49458444,0.5346077418640891,0.7555321492859679,0.728427505725817,0.7526710520665186,0.8911108768325134,0.8160612419223692,0.17986323554518002,0.5
5,validation,14520975,0.5253284570026903,0.7612169898244615,0.7347680854763541,0.7620206583670348,0.8904976094121171,0.8212648390392008,0.1762774527241625,0.5
