epoch,split,targets,loss,roc_auc,accuracy,precision,recall,f1,mse,threshold
1,train,647283,0.5931478795568614,0.7012227088212413,0.6889845708909396,0.649554778184131,0.34193532186308523,0.44802408442710373,0.20333820075352374,0.5
1,validation,125800,0.6031537590686392,0.6927055234254129,0.6808267090620032,0.6478122513922037,0.3422579018157364,0.44788515483196745,0.2076444417610333,0.5
2,train,647283,0.5787438688919503,0.7207687879911234,0.7014196263458178,0.6705401752040687,0.37577269322038864,0.48163545561342996,0.19719969262912526,0.5
2,validation,125800,0.5970970834002776,0.706535274114863,0.6880763116057234,0.6556948798328108,0.3692417619367855,0.4724388276418392,0.2046824000386364,0.5
3,train,647283,0.5616394537653516,0.7454291173544372,0.707433997185157,0.6660813853742226,0.4159673888933066,0.5121176443309726,0.19080653165616085,0.5
3,validation,125800,0.5767282003780237,0.735982615008881,0.6925198728139904,0.6170369396608387,0.49321200403496973,0.5482194372744368,0.19717133436849787,0.5
4,train,647283,0.5464051209995883,0.7653183952392085,0.7161705158331054,0.6647944657661798,0.46614379522635674,0.5480225154744683,0.18490225802430774,0.5
4,validation,125800,0.563433968221061,0.7519006436957913,0.7047138314785374,0.6619797001583015,0.4481968728984533,0.534504580143106,0.19165309147472698,0.5
5,train,647283,0.5394501510852275,0.773732539547882,0.7215267510501588,0.6690966299386842,0.4859314379941156,0.5629907992193277,0.18209025917699476,0.5
5,validation,125800,0.5605889116902799,0.7557371298994993,0.7053259141494436,0.6369652441248502,0.5137861466039004,0.5687830072354186,0.19053388840809724,0.5
6,train,647283,0.5350620696716635,0.7786605723421258,0.7248344232739002,0.670688793979156,0.5001485747289034,0.5729985279944764,0.18035524211975798,0.5
6,validation,125800,0.5639577323416268,0.7519162611468171,0.7045866454689984,0.6360479385884749,0.5119367854741089,0.5672833971798843,0.19184135776766786,0.5
7,train,647283,0.5317010615524537,0.7822706701682169,0.7271857904502358,0.6731156881146608,0.5073052729380548,0.578565018996888,0.17901326558301928,0.5
7,validation,125800,0.5596471107404069,0.7586912006320726,0.7064785373608903,0.6815162971288444,0.42051950235373237,0.5201117681460784,0.19029807616660194,0.5
8,train,647283,0.5286463997916009,0.7856567999499321,0.7293378630367243,0.6758865796183265,0.5125702591059568,0.583007052427887,0.17778656546201788,0.5
8,validation,125800,0.5546615076330395,0.7625417835296032,0.7098171701112878,0.6521297338862494,0.49903328850033624,0.5654011452789981,0.1882665598147299,0.5
9,train,647283,0.5251511769849986,0.7893062033725738,0.7315022949776219,0.6765976827026822,0.5222757463264375,0.5895043649144023,0.17644322929589848,0.5
9,validation,125800,0.5603868602000662,0.7582579050657503,0.7059379968203497,0.6341413987891684,0.5261012104909213,0.5750910281297021,0.1903862234861069,0.5
10,train,647283,0.522680107570505,0.7920137831888641,0.7340977594035376,0.68005863364213,0.5281350314099532,0.5945450604952697,0.17544662033336259,0.5
10,validation,125800,0.5572157166568956,0.7638794630602035,0.7075596184419713,0.6258833407188003,0.5639710827168796,0.5933164568156443,0.189036536932837,0.5
11,train,647283,0.5203028066165776,0.7943810830973944,0.7353012515391258,0.6808913720579264,0.5324834579826482,0.597611526673634,0.174529211576193,0.5
11,validation,125800,0.5527037218682148,0.7674618457816436,0.7120906200317965,0.6878450299163664,0.43728984532616005,0.5346694931586048,0.18730852960791372,0.5
12,train,647283,0.5178710941689286,0.7966671021474088,0.7368168173735445,0.6828850738388186,0.5358860285347183,0.6005205890629397,0.17358965862497092,0.5
12,validation,125800,0.5594797724760204,0.766007640648525,0.7102305246422893,0.6321186943620178,0.5595998655010087,0.5936528107547737,0.18918247379379105,0.5
13,train,647283,0.5160811224119762,0.7985857047517986,0.7382551372429061,0.6848481625272563,0.5389370419817776,0.6031941578623172,0.17285907703360992,0.5
13,validation,125800,0.5585762013805311,0.7680085957463834,0.7130842607313196,0.6395433568132135,0.5533372562205784,0.5933253712508731,0.18840972521734128,0.5
14,train,647283,0.5147609397927889,0.7998412109363715,0.739420006395966,0.6862548639163671,0.5417787952472828,0.6055181478631619,0.17235788696130316,0.5
14,validation,125800,0.5517995007314819,0.7712554524089533,0.7160572337042925,0.6531629227988639,0.5316282784129119,0.5861621521421786,0.18623757396676044,0.5
15,train,647283,0.5130399277031065,0.8015928142396489,0.7403840360398775,0.687352664460818,0.5442564357968837,0.6074916322340592,0.1716804853184273,0.5
15,validation,125800,0.5509075587239288,0.769628838682435,0.7144117647058823,0.657165970068761,0.5121679556153329,0.5756770482703233,0.18616910855226268,0.5
16,train,647283,0.5116283965623726,0.8028667270604002,0.7416261511579942,0.6893053663276406,0.546298815168852,0.6095264333894462,0.17112723094652832,0.5
16,validation,125800,0.5639149391366871,0.7673279936226987,0.7138632750397457,0.6737331334332833,0.4721965366509751,0.555242543306892,0.1895510485171534,0.5
17,train,647283,0.5103484556268766,0.8040744789017031,0.7424897610473317,0.6896387009401229,0.5498562382552723,0.6118655750225873,0.17061942829344992,0.5
17,validation,125800,0.5554262128315972,0.7683940085525838,0.7135453100158983,0.6458080808080808,0.5374495628782784,0.5866672783997063,0.18740652517812006,0.5
18,train,647283,0.5085961511388359,0.8057477832269269,0.7435310366563003,0.6913333438275588,0.5514215044132972,0.6135016460311326,0.16995113283649374,0.5
18,validation,125800,0.561920493380633,0.7710995121920319,0.7136883942766296,0.6314497431467927,0.5838096839273705,0.6066959313372208,0.18904535323080546,0.5
19,train,647283,0.5073689563628102,0.8069173176814036,0.7442509690506316,0.6925761304779047,0.5523548048230287,0.6145686359424258,0.1694618366581697,0.5
19,validation,125800,0.5543177052711644,0.7695204991063666,0.7143799682034976,0.665812914425567,0.4916778749159381,0.56564679714227,0.1870331053786827,0.5
14,test,112252,0.5771361223686124,0.7486264898793284,0.6965399280190999,0.6399917287014061,0.49756556887602776,0.5598625216425046,0.19633600745846114,0.5
