epoch,split,targets,loss,roc_auc,accuracy,precision,recall,f1,mse,threshold
1,train,53990022,0.5445829528773837,0.7480661724552387,0.7224743120126901,0.7454078729595485,0.8887026566472244,0.8107725211761733,0.18364193296989878,0.5
1,validation,14520975,0.5394839830137245,0.7479626872280917,0.7260146787664051,0.7323794877859395,0.9448699477520583,0.8251645267503239,0.18171535997101904,0.5
2,train,53990022,0.5435688435957265,0.749345756007303,0.723380905456938,0.7462976592059788,0.8886021576823222,0.8112566940106367,0.18322615468386855,0.5
2,validation,14520975,0.5368432183175169,0.7472869373797838,0.7289659268747449,0.7431182082210309,0.9229682015782671,0.8233360192697948,0.1804825279888784,0.5
3,train,53990022,0.5430945049653408,0.7500451618114503,0.7240644021223033,0.7471064612394611,0.888198002340823,0.8115656517637003,0.18299157066808555,0.5
3,validation,14520975,0.5378203738982991,0.7466663900240024,0.7278870048326644,0.7383928736442353,0.9328357923559961,0.82430288011329,0.18088490969031323,0.5
4,train,53990022,0.5432336337205963,0.7499385321403501,0.7239580120934198,0.7471863558917613,0.8877655245637605,0.8114321835579914,0.18304820773246971,0.5
4,validation,14520975,0.5378252664603888,0.7474580574602343,0.7289486415340568,0.7624587626773712,0.8771693322013415,0.8158013951794892,0.18077830616490084,0.5
5,train,53990022,0.5431856233819327,0.7498414681441994,0.723966550708203,0.7467784563514662,0.8887667766479719,0.8116093252944828,0.18304393711042832,0.5
5,validation,14520975,0.5389988083467478,0.7467515606443609,0.7292341595519585,0.7481557400761409,0.9109526644678975,0.8215671296615652,0.18094049822069178,0.5
6,train,53990022,0.5435554791041504,0.7494805433732853,0.7236440096282977,0.7462326168915366,0.8893553462057834,0.8115319778813157,0.183195205607424,0.5
6,validation,14520975,0.5374142306481333,0.746349134110817,0.7280226706540023,0.7620970347374141,0.8759958770057932,0.8150866846714854,0.18077701069777186,0.5
1,test,13429870,0.5400390938822336,0.7475470202501552,0.7257950374798863,0.731637300244736,0.9460949347636103,0.8251594973285162,0.1819252324325963,0.5
