dataset,model,students,interactions,questions,skills,train_examples,validation_examples,test_examples,train_ratio,validation_ratio,test_ratio,sequence_length,history_length,optimizer,learning_rate,batch_size,dropout,patience,min_delta,epoch_ceiling,epochs_completed,best_epoch,best_validation_auc,test_loss,test_auc,test_accuracy,test_precision,test_recall,test_f1,test_mse,total_parameters,trainable_parameters,runtime,GPU,seed,experiment_directory
assist2017,DKT,1388,885335,3158,102,647283,125800,112252,0.7311164700367657,0.14209310599942396,0.12679042396381032,200,199,Adam,0.0002,20,0.1,5,0.0,200,17,12,0.7213696055764979,0.6057200541985488,0.7069997420457494,0.6750258347290026,0.6113932435416206,0.44515640071654955,0.5151970230580105,0.20838042806546592,59751,59751,6233.0705237053335,NVIDIA H100 80GB HBM3 MIG 3g.40gb,42,experiments/dkt/assist2017/full
assist2017,DKVMN,1388,885335,3158,102,647283,125800,112252,0.7311164700367657,0.14209310599942396,0.12679042396381032,200,199,Adam,0.001,32,0.0,5,0.0,100,23,18,0.6962520470412956,0.618201521382347,0.6822527020970142,0.6635961942771621,0.6169661648049215,0.3500987552248404,0.44671062271062273,0.21413326015219722,56551,56551,3888.214234677609,NVIDIA H100 80GB HBM3 MIG 3g.40gb,42,experiments/dkvmn/assist2017/full
assist2017,SAKT,1388,885335,3158,102,647283,125800,112252,0.7311164700367657,0.14209310599942396,0.12679042396381032,100,99,Adam,1e-05,10,0.2,5,0.0,300,35,30,0.7577061438567358,0.5853560605634534,0.7384655653536991,0.6902950504222642,0.6240144685901602,0.5071425290524092,0.559540853171838,0.19987193044611914,528001,528001,10551.12893365277,NVIDIA H100 80GB HBM3 MIG 3g.40gb,42,experiments/sakt/assist2017/full
assist2017,RKT,1388,885335,3158,102,647283,125800,112252,0.7311164700367657,0.14209310599942396,0.12679042396381032,50,49,Adam,0.001,128,0.1,5,0.0,300,19,14,0.7712554524089533,0.5771361223686124,0.7486264898793284,0.6965399280190999,0.6399917287014061,0.49756556887602776,0.5598625216425046,0.19633600745846114,239343,239343,1474.8957446399145,NVIDIA H100 80GB HBM3 MIG 3g.40gb,42,experiments/rkt/assist2017/full
junyi,RKT,29865,14660217,25630,1521,9647042,2556773,2456402,0.6580422377103968,0.17440212515271772,0.16755563713688548,50,49,Adam,0.001,128,0.1,5,0.0,300,13,8,0.7954429583997085,0.5036462176741294,0.7912548486618094,0.7523398043154175,0.7789090882309928,0.8872965297624006,0.829577482543929,0.16703808830906774,1706028,1706028,9365.178776797373,NVIDIA H100 80GB HBM3 MIG 3g.40gb,42,experiments/rkt/junyi/full
assist2017,HiTSKT,1388,885335,3158,102,566107,125800,112252,0.7039739653476489,0.1564367245780996,0.1395893100742515,16,15,Adam,5e-05,64,0.1,5,0.0,100,45,40,0.719757256068911,0.6087257417328864,0.7096240159197755,0.6744200548765278,0.5866082262338113,0.5440494235450829,0.5645278522490319,0.20984520173382062,6931457,6931457,968.0393051300198,NVIDIA H100 80GB HBM3 MIG 3g.40gb,42,experiments/hitskt/assist2017/full
junyi,HiTSKT,29865,14660217,25630,1521,8920358,2556773,2456402,0.6402079070685087,0.18349782499528297,0.17629426793620828,16,15,Adam,5e-05,64,0.1,5,0.0,50,37,32,0.8008507199510555,0.49757788112870566,0.7978262055191263,0.75555059798844,0.785045267643441,0.8815436621676446,0.83050075255717,0.16478629880597911,8271105,8271105,14088.52458368102,NVIDIA H100 80GB HBM3 MIG 3g.40gb,42,experiments/hitskt/junyi/full
