epoch,split,targets,loss,roc_auc,accuracy,precision,recall,f1,mse,threshold
1,train,647283,0.6290164720233763,0.6347015190095101,0.6570974365154036,0.5982345319080012,0.2164126945596538,0.31784444314678845,0.21920669144817673,0.5
1,validation,125800,0.6264186254666084,0.6516840988592949,0.6608028616852146,0.6137953397878353,0.2784549428379287,0.38310852814040564,0.21795828200409054,0.5
2,train,647283,0.6060642205367038,0.6809494888420692,0.6785038383520037,0.6287556156788082,0.31512909260600075,0.41983768759182694,0.20901032489359714,0.5
2,validation,125800,0.6182319855097154,0.6681951206207437,0.667972972972973,0.6083473076206447,0.34307750504371215,0.438732044236015,0.21438161871978603,0.5
3,train,647283,0.5934184452052365,0.7022171226783104,0.6876914734358851,0.6396895197733676,0.352502961031569,0.45453368015455853,0.20364771981183838,0.5
3,validation,125800,0.6107245757139402,0.6815611017577916,0.6742766295707472,0.6213367609254499,0.355560692669805,0.4522950249953217,0.21110119257283042,0.5
4,train,647283,0.584211693448426,0.7167189050541436,0.6941229724865322,0.6455711502637829,0.3800039340914132,0.4784039327367137,0.19978306378313854,0.5
4,validation,125800,0.6043160355450298,0.6921162262476426,0.677718600953895,0.6291121135438442,0.3604993275050437,0.4583505898384791,0.20836376329763792,0.5
5,train,647283,0.576336487812849,0.7281647489180241,0.699428225366648,0.6501786632738692,0.4020850684490054,0.4968851903667174,0.19655170060816865,0.5
5,validation,125800,0.5988609180618996,0.701658487346595,0.682154213036566,0.6264434756564279,0.39559515803631473,0.48494841111383047,0.2060455744469185,0.5
6,train,647283,0.5697753174453102,0.737377065108958,0.7042097506036772,0.6544399409265681,0.420998003657868,0.5123827181874675,0.1938702775954826,0.5
6,validation,125800,0.5936980112496947,0.7095775531985158,0.6853179650238473,0.6373630148751245,0.3898999663752522,0.48382512093672175,0.20392062627127638,0.5
7,train,647283,0.5639125681842068,0.7451968419761315,0.7077754243507091,0.6570752484619025,0.43580525410463844,0.5240405423087375,0.19149885041438347,0.5
7,validation,125800,0.5897828957334232,0.7164391161962709,0.6877980922098569,0.6508149707772172,0.37676529926025554,0.4772464096045574,0.20229458705516346,0.5
8,train,647283,0.5588886450200731,0.7517763096371091,0.7111495281043995,0.6598190507236126,0.4489802751352867,0.5343541108377083,0.1894609509574264,0.5
8,validation,125800,0.5850018300061871,0.7230523838757968,0.6903815580286169,0.6407656188861354,0.4129749495628783,0.5022491437918519,0.20032954254682023,0.5
9,train,647283,0.5540414836761001,0.757809074417212,0.7145375361318002,0.6630717537394321,0.46085369783666824,0.5437710645547585,0.18749849890702155,0.5
9,validation,125800,0.5821205594371086,0.7273733776820096,0.6930286168521462,0.6393126806077742,0.4323932414256893,0.5158774931989419,0.19915910478272425,0.5
10,train,647283,0.54996367525893,0.7626658072825113,0.717927089078502,0.6672443674176777,0.4705005922063138,0.5518615878906585,0.18583765266642943,0.5
10,validation,125800,0.5791870858872662,0.7323381273575928,0.6952702702702702,0.6313293385965411,0.4671948554135844,0.5370001328550551,0.1979568699232236,0.5
11,train,647283,0.5463494017881116,0.7669955202464263,0.7199401189278878,0.6678720121116837,0.48003030087428905,0.5585820314021895,0.18440164009373022,0.5
11,validation,125800,0.5764855726208651,0.7360583989616911,0.6963831478537361,0.6570854943951815,0.41268073301950237,0.5069640759529618,0.19688627887006366,0.5
12,train,647283,0.54274792650806,0.7712733716493012,0.7224846010168658,0.670904752573398,0.48718281387980933,0.5644707268640757,0.18292146520928135,0.5
12,validation,125800,0.5748077606221746,0.7390781661367511,0.6975357710651828,0.66090596098022,0.4114828513786147,0.5071881880585416,0.1961985505665319,0.5
13,train,647283,0.5393681776935336,0.7750984927290623,0.7249781007689063,0.6727266541157257,0.49650744756986154,0.5713377559988924,0.1815787976743434,0.5
