epoch,split,targets,loss,roc_auc,accuracy,precision,recall,f1,mse,threshold
1,train,647283,0.6161802455520242,0.6612574995814856,0.6685128452315293,0.6188956863663417,0.2654674663195738,0.3715592837100865,0.21354742441318308,0.5
1,validation,125800,0.6160547129577693,0.6738250719321381,0.6660413354531002,0.597188306704807,0.3597637861466039,0.44902295081967214,0.21356586281281012,0.5
2,train,647283,0.595589814270567,0.6990616598587938,0.6833147170557546,0.6388380005234232,0.32691462603112953,0.4325030660919302,0.2047343180446218,0.5
2,validation,125800,0.6035824961036397,0.6964616844964755,0.6744276629570747,0.6132317260704644,0.37712256220578344,0.4670318945437037,0.20819112764374517,0.5
3,train,647283,0.5871602978559253,0.7130198648300757,0.6880020022154143,0.6395340063681773,0.35473785977056715,0.45634787103165525,0.20125389860252993,0.5
3,validation,125800,0.5998420239454327,0.7024503523393464,0.6758187599364069,0.6133969058415577,0.38662155346334903,0.474296174074456,0.20664041977466793,0.5
4,train,647283,0.5813644545249624,0.7220152837954882,0.6915723107203495,0.6386166903003239,0.37885300309286546,0.47557554297002236,0.1988607454608102,0.5
4,validation,125800,0.5962879715990186,0.7082842985861958,0.6785612082670907,0.6251269302146434,0.37518913920645597,0.4689334541586226,0.2050774055566016,0.5
5,train,647283,0.5772578123628621,0.7278848183109539,0.6943562553010043,0.6395428586949878,0.39416666317899696,0.4877317452097359,0.1971908981713307,0.5
5,validation,125800,0.5940052215214848,0.7116001790865176,0.6813751987281399,0.6156811942876531,0.4194897444519166,0.4989938128866946,0.20412154058830975,0.5
6,train,647283,0.5731576122128811,0.7336506175334617,0.6978817611462065,0.6417040681000072,0.4110916266630953,0.501140288669051,0.19548551247936305,0.5
6,validation,125800,0.5911017355739786,0.7158900196709246,0.6829014308426073,0.6246799131308548,0.4050100874243443,0.4914132721361637,0.20290902914447273,0.5
7,train,647283,0.5694538731981237,0.7385617739885342,0.7007228677410036,0.6445097788572159,0.4220359341583765,0.5100696262237701,0.19397098335902552,0.5
7,validation,125800,0.5912939486429925,0.7174482871833068,0.6842845786963434,0.6293021268202886,0.402320107599193,0.49084033074802896,0.20282095197408392,0.5
8,train,647283,0.5662307944437435,0.7428040598108362,0.7037030170729032,0.6477682293135761,0.43251149884697637,0.5186938169115174,0.1926467385492152,0.5
8,validation,125800,0.5907593508678324,0.7184948702753049,0.6840143084260731,0.6065569310297919,0.4685188298587761,0.5286759387709127,0.20287142032193128,0.5
9,train,647283,0.5633331237089425,0.7464441291232914,0.7063602782708646,0.6512400888828368,0.44034620004436315,0.5254208510404547,0.1914670694252552,0.5
9,validation,125800,0.5904994750143708,0.7177560724544447,0.6846899841017489,0.6171648416691329,0.4382565568258238,0.5125470051859317,0.20266115324693898,0.5
10,train,647283,0.5607564218568061,0.749653204952112,0.7080550547442155,0.6523558038273427,0.4476996028241754,0.5309904074060285,0.19042018984073705,0.5
10,validation,125800,0.5904026688161544,0.7191161396268169,0.6850158982511924,0.6130828905117786,0.4534087088096839,0.5212926608275446,0.2024858911443398,0.5
11,train,647283,0.558194866724388,0.7527087601198449,0.7102086722500051,0.6549695250739244,0.4542410760995576,0.5364428749008395,0.1893811726262088,0.5
11,validation,125800,0.5909029612198637,0.7212111745151152,0.6866295707472178,0.625399459193707,0.4277278076664425,0.5080121805111821,0.20223262175199402,0.5
12,train,647283,0.5557379629063283,0.7556856437832928,0.711650081957969,0.656415072893797,0.45922983882780816,0.5403966530246394,0.18840324870537362,0.5
12,validation,125800,0.5904881990392987,0.7213696055764979,0.6858028616852146,0.6209691947396866,0.4346418964357767,0.5113611076770923,0.20226422177765158,0.5
13,train,647283,0.5536808581189598,0.7579934319166451,0.7136074947125137,0.6593099345627602,0.46384611843289236,0.5445696582865931,0.18759377879891856,0.5
13,validation,125800,0.5918298661410335,0.7196535089915161,0.6851192368839427,0.616081309336595,0.4445822125084062,0.516466883132736,0.20270019343787846,0.5
14,train,647283,0.5516316148118757,0.7604896281303406,0.715371792554416,0.6615172022818269,0.4688265107538807,0.5487477802951441,0.18677186134237167,0.5
14,validation,125800,0.591699989068963,0.7211582271767424,0.6851351351351351,0.6145887221934816,0.44939475453934097,0.5191677389594309,0.20257025592736902,0.5
15,train,647283,0.5498052421770858,0.7625126203955797,0.7165675600934985,0.6626499665763642,0.4729573067377593,0.5519604371451249,0.186037745912693,0.5
15,validation,125800,0.5917699557213506,0.7205155633776285,0.6848728139904611,0.609485730042741,0.46450487558843306,0.527209626829181,0.2027171422636518,0.5
16,train,647283,0.5478144061603651,0.7648780133812079,0.7181619168122753,0.6648790280225487,0.47684117570740403,0.5553754700840119,0.18522289519569157,0.5
16,validation,125800,0.5972974899794984,0.7173144104396829,0.6833704292527822,0.6180483645002132,0.42646687962340285,0.5046880051729712,0.2043147372605558,0.5
17,train,647283,0.5459189736657264,0.7670405485487742,0.7195538891026028,0.6667228130499684,0.48041533960834865,0.558439915739493,0.18445562426296744,0.5
17,validation,125800,0.5953788786186038,0.7187990504652112,0.6853656597774245,0.6136176495641558,0.45416526563550774,0.5219859183845996,0.20370697477597904,0.5
12,test,112252,0.6057200541985488,0.7069997420457494,0.6750258347290026,0.6113932435416206,0.44515640071654955,0.5151970230580105,0.20838042806546592,0.5
