epoch,split,targets,loss,roc_auc,accuracy,precision,recall,f1,mse,threshold
1,train,9647042,0.5205537593189377,0.744812550050416,0.7442130966155222,0.7659821797547304,0.9212642193290914,0.8364776777534316,0.17313650978683207,0.5
1,validation,2556773,0.5342379181393405,0.7469334286766293,0.7326970364596309,0.7567477944094706,0.9018404559633976,0.8229478001018118,0.17886148388049247,0.5
2,train,9647042,0.5117440676802035,0.7568115289248218,0.7500974910236734,0.7726026337505157,0.9184018882714347,0.8392168187362739,0.1696236058960916,0.5
2,validation,2556773,0.5325974391278764,0.749303447913893,0.7340565627061926,0.759930860564799,0.8974286762276047,0.8229762234222995,0.1781708051818165,0.5
3,train,9647042,0.5107767747271338,0.758116177278072,0.7505826138208997,0.7732118536608275,0.9180432393138813,0.8394261962719681,0.16925264354681255,0.5
3,validation,2556773,0.533532086758302,0.7499506386307369,0.7330079752875989,0.7709468604956123,0.8712560910382389,0.8180379257584885,0.1785963507954872,0.5
4,train,9647042,0.5105594388544579,0.7583837326627846,0.7508946265601414,0.7740219425554368,0.9169087583622719,0.8394282484888163,0.16914694926692408,0.5
4,validation,2556773,0.5330043238006674,0.7494722239919589,0.7341668579885661,0.7566515850419012,0.9052091933086304,0.8242904337525752,0.17820416079516507,0.5
5,train,9647042,0.5107727550072146,0.7582296051515524,0.7509190900174375,0.7743271244517239,0.9162984566563174,0.8393517251965638,0.16917925551776034,0.5
5,validation,2556773,0.5332666651500854,0.7489366834813482,0.7334061334346068,0.7618250977866079,0.8917830744370012,0.8216973516450918,0.17838244855753754,0.5
6,train,9647042,0.5114819524248636,0.7575248004724483,0.7506876201015814,0.7740911140647826,0.9163476486378784,0.8392336804566137,0.1693701825621192,0.5
6,validation,2556773,0.5347526347201929,0.7471237110368293,0.7321107505437519,0.7571983673313323,0.8995437186363342,0.8222559695485164,0.1789473054838252,0.5
7,train,9647042,0.5125857794795645,0.7565858411108624,0.7504116805959796,0.77271669823149,0.918780097245395,0.839441996038911,0.16967394431565017,0.5
7,validation,2556773,0.5366966749496377,0.7455604065150624,0.7315631853121102,0.753745528783867,0.9064458543465399,0.8230731911282418,0.17955608332557338,0.5
8,train,9647042,0.5139818224404924,0.7553293421299762,0.7500066859872695,0.7716694737254403,0.9202618414733655,0.8394406611191704,0.1700926199348128,0.5
8,validation,2556773,0.539278593628753,0.7446097275289683,0.7315119488511495,0.7513488533518684,0.9120681764757318,0.8239441658773862,0.18023055974874944,0.5
3,test,2456402,0.5415314254474518,0.7476841496612041,0.7257260822943475,0.7664082388459961,0.8576722579346127,0.8094759908929949,0.18200326977544665,0.5
