epoch,split,targets,loss,roc_auc,accuracy,precision,recall,f1,mse,threshold
1,train,53990022,0.5863332365853685,0.6816267576040387,0.692962636688683,0.708067330749256,0.920625253064284,0.8004760039261213,0.2006721813324035,0.5
1,validation,14520975,0.5838620443021149,0.6719177243615195,0.698553850550669,0.7051260479767958,0.9615997354391923,0.8136299659276823,0.19942883466048988,0.5
2,train,53990022,0.587969051365013,0.6790166965526578,0.6918580622174965,0.7070827891124316,0.9208972647254863,0.7999491208667288,0.20132597714927614,0.5
2,validation,14520975,0.5855252992991972,0.6656104984379707,0.6971125561472284,0.7066664457546418,0.9529163682708987,0.8115220492480395,0.20008186198696845,0.5
3,train,53990022,0.5918270581248772,0.6716231873188618,0.6894265388519383,0.7038733875283206,0.9248743659117478,0.7993803234386024,0.20292315770779834,0.5
3,validation,14520975,0.5915687795109373,0.6511616713824253,0.693825586780502,0.7017305528932161,0.9610586981209017,0.8111722531089285,0.20253491964575335,0.5
4,train,53990022,0.5951553041754354,0.6649189717447475,0.6872789938852034,0.7010952310790236,0.9283550354341908,0.798877144601493,0.20428200597140456,0.5
4,validation,14520975,0.5970308236399068,0.6500716087367917,0.6940158632598706,0.7031782515888003,0.9566606564827663,0.8105641632065428,0.20445862225389452,0.5
5,train,53990022,0.5963740158719428,0.6625299359669833,0.6862061474988842,0.6996447791546696,0.9303551863210665,0.7986725922157003,0.2047975946472827,0.5
5,validation,14520975,0.6044083398645231,0.648117614809817,0.6926480487708297,0.6973026288089873,0.9733858147583225,0.8125326898497943,0.20708830016172688,0.5
6,train,53990022,0.5980830548333699,0.6591278735893307,0.6846741607180675,0.6980172809567019,0.9317837389629365,0.7981356545508211,0.20551918236758832,0.5
6,validation,14520975,0.5991914529272867,0.6394325871080289,0.6899301183288312,0.7047798551484132,0.9410656784684457,0.8059615790293634,0.20557186045187237,0.5
1,test,13429870,0.5833078272692482,0.6741059915424829,0.6988751938775283,0.7053461512590434,0.9612753689964084,0.8136602984915351,0.19920125153954787,0.5
